Centre;Action;Bague;Date;Heure;Espece;Sexe;Age;Dept;Localite;lieudit;LP;MA;AD;Condrepr;Circrepr;Theme;Bagueur;HS;DS;FS;RE;CS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRP;B;620815;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;48,2;;;;;;;
FRP;B;620816;10/10/2009;16H00;CALDIO;M?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;54,4;;;;;;;
FRP;B;620817;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;49,3;;;;;;;
FRP;B;620818;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;48,2;;;;;;;
FRP;B;620820;15/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;49,5;;;;;;;11,9
FRP;B;620821;15/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;49,3;;;;;;;13,4
FRP;B;620822;15/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;46,5;;;;;;;12
FRP;B;620823;15/10/2009;16H00;CALDIO;?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;50;;;;;;;14
FRP;B;620825;15/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;46,9;;;;;;;11,5
FRP;B;620826;15/10/2009;16H00;CALDIO;M?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;50,5;;;;;;;13
